"fecha","estacion","provincia","temperatura_maxima","hora_temperatura_maxima","temperatura_minima","hora_temperatura_minima","temperatura_media","racha_viento","hora_racha_viento","velocidad_maxima_viento","hora_velocidad_maxima_viento","precipitacion_total","precipitacion_0_a_6","precipitacion_6_a_12","precipitacion_12_a_18","precipitacion_18_a_24"
"2019-04-29","Estaca de Bares","A Coruña",15.0,"14:00",11.1,"07:30",13.1,64.0,"02:20",51.0,"02:00",0.0,0.0,0.0,0.0,0.0
"2019-04-29","As Pontes","A Coruña",24.7,"15:40",5.3,"07:50",15.0,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0
"2019-04-29","A Coruña","A Coruña",17.5,"12:30",11.4,"07:20",14.4,40.0,"18:40",23.0,"19:30",0.0,0.0,0.0,0.0,0.0
"2019-04-29","A Coruña Aeropuerto","A Coruña",19.2,"16:00",7.9,"07:30",13.6,37.0,"19:10",23.0,"19:10",0.0,0.0,0.0,0.0,0.0
"2019-04-29","Carballo, Depuradora","A Coruña",22.4,"14:20",4.7,"07:40",13.5,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0
"2019-04-29","Cabo Vilan","A Coruña",15.4,"15:30",10.5,"06:50",12.9,27.0,"22:40",18.0,"23:10",0.2,0.1,0.1,0.0,0.0
"2019-04-29","Vimianzo","A Coruña",19.4,"14:10",7.4,"08:00",13.4,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0
"2019-04-29","Fisterra","A Coruña",16.5,"00:00",10.9,"23:59",13.7,53.0,"18:40",37.0,"18:30",0.0,0.0,0.0,0.0,0.0
"2019-04-29","Mazaricos","A Coruña",21.3,"14:00",8.1,"07:40",14.7,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0
"2019-04-29","Sobrado","A Coruña",26.2,"16:40",4.1,"07:40",15.2,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0
"2019-04-29","Santiago de Compostela Aeropuerto","A Coruña",24.1,"15:30",8.5,"08:00",16.3,30.0,"17:30",21.0,"20:00",0.0,0.0,0.0,0.0,0.0
"2019-04-29","Noia","A Coruña",19.8,"13:40",10.6,"07:20",15.2,20.0,"19:10",6.0,"16:20",0.0,0.0,0.0,0.0,0.0
"2019-04-29","Boiro","A Coruña",22.5,"16:40",8.5,"07:30",15.5,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0
"2019-04-29","Padrón","A Coruña",23.6,"15:00",8.4,"08:00",16.0,23.0,"04:00",18.0,"04:00",0.0,0.0,0.0,0.0,0.0
"2019-04-29","Santiago de Compostela","A Coruña",25.2,"16:20",9.6,"08:10",17.4,25.0,"17:00",8.0,"16:00",0.0,0.0,0.0,0.0,0.0
